alpha,K,support_mode,audit_policy,audit_budget_fraction_requested,audit_budget_fraction_effective,seeds,nonempty_seeds,safe_seeds,mean_release_size,median_release_size,max_release_size,total_released,total_false_t1,mean_FTR_t1_if_nonempty,mean_FTR_t1_empty_zero,mean_raw_topK_t1_FTR,mean_verified_t1_positives,mean_verified_positive_yield,mean_max_evalue,mean_required_evalue_threshold_if_released,mean_self_consistency_margin,mean_evidence_mass,self_consistency_pass_any_seed,strict_alpha_0p10_success,relaxed_current_mp_operating_success,boundary_nonempty,evidence_scope,random_same_budget_nonempty_seeds,random_same_budget_safe_seeds,random_same_budget_refuses,claim_status
0.1,25,t1_10pct_support,random_t1_audit,0.2,0.1,20,0,0,0.0,0.0,0,0,0,,0.0,0.2720000000000001,29.6,0.4998453984107898,19.089482238650998,,-6.804699364741128,0.3459068707517175,False,False,False,False,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,certified_refusal
0.1,25,t1_10pct_support,random_t1_audit,1.0,0.1,20,0,0,0.0,0.0,0,0,0,,0.0,0.2720000000000001,29.6,0.4998453984107898,19.089482238650998,,-6.804699364741128,0.3459068707517175,False,False,False,False,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,certified_refusal
0.1,25,t1_10pct_support,score_targeted_t1_audit,0.002,0.002,20,0,0,0.0,0.0,0,0,0,,0.0,0.2720000000000001,0.9,0.9,21.983695823080108,,-6.541655824016398,0.392330311387055,False,False,False,False,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,certified_refusal
0.1,25,t1_10pct_support,score_targeted_t1_audit,0.005,0.005,20,1,0,0.6,0.0,12,12,3,0.25,0.0125,0.2720000000000001,2.2,0.7333333333333332,23.045177725064455,20.83333333333333,-5.561748031674091,0.5248871219594565,True,False,False,True,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,boundary_nonempty_no_primary_gate
0.1,25,t1_10pct_support,score_targeted_t1_audit,0.01,0.01,20,1,0,0.6,0.0,12,12,3,0.25,0.0125,0.2720000000000001,4.1,0.6833333333333333,23.2990943049765,20.83333333333333,-5.015409341841371,0.5879531312911401,True,False,False,True,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,boundary_nonempty_no_primary_gate
0.1,25,t1_10pct_support,score_targeted_t1_audit,0.02,0.02,20,2,0,1.85,0.0,25,37,8,0.225,0.0225,0.2720000000000001,8.9,0.7477272727272728,23.20859901903531,15.416666666666664,-4.039397385389857,0.6815736268789819,True,False,False,True,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,boundary_nonempty_no_primary_gate
0.1,25,t1_10pct_support,score_targeted_t1_audit,0.05,0.05,20,3,0,2.4,0.0,25,48,14,0.3318181818181818,0.04977272727272727,0.2720000000000001,19.45,0.6540864187721807,23.056529020690714,17.853535353535353,-3.3767870990617808,0.7024777827573858,True,False,False,True,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,boundary_nonempty_no_primary_gate
0.1,25,t1_10pct_support,score_targeted_t1_audit,0.1,0.1,20,3,0,2.4,0.0,25,48,14,0.3318181818181818,0.04977272727272727,0.2720000000000001,42.5,0.7169001193405027,22.646671427546153,17.853535353535353,-3.3961099440571294,0.6946493838108893,True,False,False,True,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,boundary_nonempty_no_primary_gate
0.1,25,t1_10pct_support,score_targeted_t1_audit,0.2,0.1,20,3,0,2.4,0.0,25,48,14,0.3318181818181818,0.04977272727272727,0.2720000000000001,42.5,0.7169001193405027,22.646671427546153,17.853535353535353,-3.3961099440571294,0.6946493838108893,True,False,False,True,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,boundary_nonempty_no_primary_gate
0.1,25,t1_10pct_support,score_targeted_t1_audit,1.0,0.1,20,3,0,2.4,0.0,25,48,14,0.3318181818181818,0.04977272727272727,0.2720000000000001,42.5,0.7169001193405027,22.646671427546153,17.853535353535353,-3.3961099440571294,0.6946493838108893,True,False,False,True,current_MP_relaxed_recertification_frontier;queue_limited_public_label_t1_recertification_emulation;small_K_alpha_grid_reported_in_full;t1_labels_used_only_as_calibration_side_one_sided_positives;test_side_t1_labels_used_only_after_release_for_FTR;not_DFT_evidence;not_prospective_materials_discovery;not_strict_alpha_0p10_certificate_if_relaxed_only,0,0,True,boundary_nonempty_no_primary_gate
