dataset,generator,mondrian_variant,alpha1,seed,candidate_budget_M,tau_k,self_consistency_margin,best_mass_ratio,n_rank_cell_mean,n_rank_cell_min,n_rank_cell_max,p_min_cell_mean,released,official_supported,unsupported,utr,audited_ftr_on_labeled_released,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,runtime_sec
TAO,GroundingDINO,global,0.1,2,150,,,0.810631199433624,584.0,584,584,0.0017094017094017096,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,global,0.2,2,150,5.28169014084507,0.01658197148123275,1.621262398867248,584.0,584,584,0.0017094017094017096,142,141,1,0.007042253521126761,0.0,0.0,0.9466666666666667,0.0
TAO,GroundingDINO,category,0.1,0,150,,,0.23700544501151138,129.83333333333334,0,325,0.2316289953040976,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,category,0.2,0,150,,,0.47401089002302277,129.83333333333334,0,325,0.2316289953040976,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,category,0.1,1,150,,,0.24934642180095737,124.42,0,323,0.2660570252792475,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,category,0.2,1,150,,,0.49869284360191474,124.42,0,323,0.2660570252792475,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,category,0.1,2,150,,,0.16459963898343527,103.02,0,319,0.2876224252327193,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,category,0.2,2,150,,,0.32919927796687054,103.02,0,319,0.2876224252327193,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,query_cluster,0.1,0,150,,,0.23700544501151138,129.83333333333334,0,325,0.2316289953040976,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,query_cluster,0.2,0,150,,,0.47401089002302277,129.83333333333334,0,325,0.2316289953040976,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,query_cluster,0.1,1,150,,,0.24934642180095737,124.42,0,323,0.2660570252792475,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,query_cluster,0.2,1,150,,,0.49869284360191474,124.42,0,323,0.2660570252792475,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,query_cluster,0.1,2,150,,,0.16459963898343527,103.02,0,319,0.2876224252327193,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,query_cluster,0.2,2,150,,,0.32919927796687054,103.02,0,319,0.2876224252327193,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,category_occ,0.1,0,150,,,0.23700544501151138,129.83333333333334,0,325,0.2316289953040976,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,category_occ,0.2,0,150,,,0.47401089002302277,129.83333333333334,0,325,0.2316289953040976,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,category_occ,0.1,1,150,,,0.24934642180095737,124.42,0,323,0.2660570252792475,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,category_occ,0.2,1,150,,,0.49869284360191474,124.42,0,323,0.2660570252792475,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,category_occ,0.1,2,150,,,0.16459963898343527,103.02,0,319,0.2876224252327193,0,0,0,0.0,,,0.0,0.0
TAO,GroundingDINO,category_occ,0.2,2,150,,,0.32919927796687054,103.02,0,319,0.2876224252327193,0,0,0,0.0,,,0.0,0.0
