method,candidate_budget_M,k,tau_k,e_at_k,margin_k,mass_ratio_k,num_above_tau,unconstrained_feasible
null_superset_no_audit,150,74,20.27027027027027,21.82374391726804,1.5534736469977695,1.0766380332518901,106,True
null_superset_no_audit,150,75,20.0,21.82374391726804,1.8237439172680396,1.091187195863402,106,True
null_superset_no_audit,150,76,19.736842105263158,21.82374391726804,2.086901812004882,1.105736358474914,106,True
null_superset_no_audit,150,77,19.48051948051948,21.82374391726804,2.34322443674856,1.120285521086426,106,True
null_superset_no_audit,150,78,19.23076923076923,21.82374391726804,2.5929746864988097,1.1348346836979382,106,True
null_superset_no_audit,150,79,18.987341772151897,21.82374391726804,2.8364021451161427,1.1493838463094501,106,True
null_superset_no_audit,150,80,18.75,21.82374391726804,3.0737439172680396,1.163933008920962,106,True
null_superset_no_audit,150,81,18.51851851851852,21.82374391726804,3.3052253987495206,1.178482171532474,106,True
null_superset_no_audit,150,82,18.292682926829265,21.82374391726804,3.5310609904387746,1.1930313341439862,106,True
null_superset_no_audit,150,83,18.072289156626503,21.82374391726804,3.7514547606415363,1.2075804967554982,106,True
null_superset_no_audit,150,84,17.857142857142858,21.82374391726804,3.966601060125182,1.2221296593670101,106,True
null_superset_no_audit,150,85,17.647058823529413,21.82374391726804,4.176685093738627,1.236678821978522,106,True
null_superset_no_audit,150,86,17.441860465116278,21.82374391726804,4.381883452151762,1.2512279845900343,106,True
null_superset_no_audit,150,87,17.241379310344826,21.82374391726804,4.582364606923214,1.2657771472015464,106,True
null_superset_no_audit,150,88,17.045454545454543,21.82374391726804,4.7782893718134964,1.2803263098130584,106,True
null_superset_no_audit,150,89,16.85393258426966,21.82374391726804,4.969811332998379,1.2948754724245704,106,True
null_superset_no_audit,150,90,16.666666666666668,21.82374391726804,5.157077250601372,1.3094246350360825,106,True
null_superset_no_audit,150,91,16.483516483516485,21.82374391726804,5.340227433751554,1.3239737976475945,106,True
null_superset_no_audit,150,92,16.304347826086953,21.82374391726804,5.519396091181086,1.3385229602591067,106,True
