stress_family,domain,source,K,alpha,raw_FTR,PARC_release,PARC_FTR,mass_ratio,max_observed_e,refusal_reason,outcome,evidence_state
block_shift_downsampled_max,materials_discovery,materials_alignn_alpha010_K500,500,0.1,0.3151999999999999,87.28,0.0432209637370945,2.355753702786895,164.63075259685945,release_stable,no_over_alpha_mean_FTR,completed_stress_diagnostic
block_shift_downsampled_max,materials_discovery,materials_cgcnn_alpha010_K100,100,0.1,0.0319999999999999,100.0,0.0319999999999999,14.105746741650252,164.5756561283998,release_stable,no_over_alpha_mean_FTR,completed_stress_diagnostic
block_shift_downsampled_max,materials_discovery,materials_cgcnn_alpha010_K100,100,0.1,0.0319999999999999,100.0,0.0319999999999999,13.952718773998882,164.5756561283998,release_stable,no_over_alpha_mean_FTR,completed_stress_diagnostic
block_shift_downsampled_max,materials_discovery,materials_cgcnn_alpha010_K100,100,0.1,0.0319999999999999,100.0,0.0319999999999999,13.595692086112754,164.5756561283998,release_stable,no_over_alpha_mean_FTR,completed_stress_diagnostic
block_shift_downsampled_max,materials_discovery,materials_cgcnn_alpha010_K100,100,0.1,0.0319999999999999,100.0,0.0319999999999999,13.495329745278404,164.5756561283998,release_stable,no_over_alpha_mean_FTR,completed_stress_diagnostic
block_shift_size_matched,materials_discovery,materials_alignn_alpha010_K300,300,0.1,0.26,99.4,0.0708014321425856,3.710046138707567,164.64255843766983,release_stable,no_over_alpha_mean_FTR,completed_stress_diagnostic
block_shift_size_matched,materials_discovery,materials_alignn_alpha010_K300,300,0.1,0.26,72.8,0.0434618744599571,1.2934590028064583,112.0326164945283,power_loss_or_refusal,no_over_alpha_mean_FTR,completed_stress_diagnostic
block_shift_size_matched,materials_discovery,materials_alignn_alpha010_K300,300,0.1,0.26,47.3,0.0253844593223777,0.9680350400448308,78.47468351069627,power_loss_or_refusal,no_over_alpha_mean_FTR,completed_stress_diagnostic
block_shift_size_matched,materials_discovery,materials_alignn_alpha010_K300,300,0.1,0.26,0.0,0.0,0.6650682331880509,34.03303304223063,power_loss_or_refusal,no_over_alpha_mean_FTR,completed_stress_diagnostic
block_shift_size_matched,materials_discovery,materials_alignn_alpha010_K500,500,0.1,0.3296,78.1,0.0314811511743671,2.2260276832245403,164.64255843766983,release_stable,no_over_alpha_mean_FTR,completed_stress_diagnostic
block_shift_size_matched,materials_discovery,materials_alignn_alpha010_K500,500,0.1,0.3296,29.0,0.0073463573463573,0.776075401683875,112.0326164945283,power_loss_or_refusal,no_over_alpha_mean_FTR,completed_stress_diagnostic
block_shift_size_matched,materials_discovery,materials_alignn_alpha010_K500,500,0.1,0.3296,0.0,0.0,0.5808210240268987,78.47468351069627,power_loss_or_refusal,no_over_alpha_mean_FTR,completed_stress_diagnostic
block_shift_size_matched,materials_discovery,materials_alignn_alpha010_K500,500,0.1,0.3296,0.0,0.0,0.4183799305749028,34.03303304223063,power_loss_or_refusal,no_over_alpha_mean_FTR,completed_stress_diagnostic
block_shift_size_matched,materials_discovery,materials_cgcnn_alpha010_K100,100,0.1,0.038,100.0,0.038,12.604975096650286,164.55597493117816,release_stable,no_over_alpha_mean_FTR,completed_stress_diagnostic
block_shift_size_matched,materials_discovery,materials_cgcnn_alpha010_K100,100,0.1,0.038,99.3,0.0355175155813453,4.043292567141288,113.92388478737462,release_stable,no_over_alpha_mean_FTR,completed_stress_diagnostic
block_shift_size_matched,materials_discovery,materials_cgcnn_alpha010_K100,100,0.1,0.038,97.6,0.0314136098457604,2.6595683885994723,78.50111768857349,release_stable,no_over_alpha_mean_FTR,completed_stress_diagnostic
block_shift_size_matched,materials_discovery,materials_cgcnn_alpha010_K100,100,0.1,0.038,71.3,0.0240903586950098,1.1203233015054237,34.40986976755701,release_stable,no_over_alpha_mean_FTR,completed_stress_diagnostic
block_shift_size_matched,biomedical_cell_tracking,ctc_learned_alpha010_K100,100,0.1,0.0,100.0,0.0,1.337801129860021,13.378011298600208,release_stable_in_completed_aggregate_row,not_candidate_level_rerun,completed_stress_diagnostic
block_shift_size_matched,earth_observation,spacenet_real_audit_alpha020_K100,100,0.2,,0.0,0.0,0.6352281046999336,6.061336876907763,stable_refusal_in_completed_real_audit_row,not_candidate_level_rerun,completed_stress_diagnostic
