regime,replicate,feature_set,fold,n_test,positive_rate_test,roc_auc,average_precision,brier,train_systems,test_systems,group_split,evidence_scope
candidate_driven,1,system_landscape_activity,2,255,0.3176470588235294,0.4709450830140486,0.3104415754889178,0.24973610227773863,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,1,system_landscape_activity,3,255,0.3058823529411765,0.595393307257714,0.3677528355093292,0.2451936124583024,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,1,system_landscape_activity,4,255,0.3686274509803922,0.5612858464384829,0.40814440285815523,0.2520538785310982,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,1,candidate_plus_system,0,256,0.3203125,0.8732828707597421,0.784694345642022,0.14192886831629037,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,1,candidate_plus_system,1,256,0.36328125,0.8308595553796424,0.7558757831178426,0.1618789971107777,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,1,candidate_plus_system,2,255,0.3176470588235294,0.8450404427415922,0.7293168536949283,0.159599620615613,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,1,candidate_plus_system,3,255,0.3058823529411765,0.875995943792554,0.8140213503905627,0.14874199995629547,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,1,candidate_plus_system,4,255,0.3686274509803922,0.870225981234307,0.8327887814253403,0.15496419496796332,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,1,negative_control_noise,0,256,0.3203125,0.5295065881693299,0.3443643428443237,0.2498444279541484,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,1,negative_control_noise,1,256,0.36328125,0.5506299887855399,0.4134787417630505,0.2496822178559333,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,1,negative_control_noise,2,255,0.3176470588235294,0.462892010784731,0.2995849698305752,0.2509591988126122,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,1,negative_control_noise,3,255,0.3058823529411765,0.4372012168622338,0.27876538318019617,0.25275852583181246,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,1,negative_control_noise,4,255,0.3686274509803922,0.4890313202061583,0.3449312012214574,0.25072345861040335,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,2,candidate_margin_rank,0,245,0.34285714285714286,0.8543330375628513,0.7828502311696773,0.1517495941705467,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,2,candidate_margin_rank,1,245,0.35918367346938773,0.865011580775912,0.7708409310653956,0.15172998828600837,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,2,candidate_margin_rank,2,244,0.3770491803278688,0.8364559496567505,0.7427616049522308,0.17008540042598613,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,2,candidate_margin_rank,3,244,0.3442622950819672,0.8652529761904761,0.7622162330344847,0.15010611041432118,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,2,candidate_margin_rank,4,244,0.3360655737704918,0.8070611261668172,0.6726860583545143,0.17941037400086737,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,2,system_landscape_activity,0,245,0.34285714285714286,0.4636572020112392,0.3194232127841417,0.2584649377145893,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,2,system_landscape_activity,1,245,0.35918367346938773,0.5487840185292414,0.42012334304010734,0.24715564246906246,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,2,system_landscape_activity,2,244,0.3770491803278688,0.49646024027459956,0.3870685024553038,0.24944289210108156,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,2,system_landscape_activity,3,244,0.3442622950819672,0.4705729166666667,0.35012881822741576,0.2550339566989404,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,2,system_landscape_activity,4,244,0.3360655737704918,0.5428334838903944,0.36301309096030365,0.24763300079907172,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,2,candidate_plus_system,0,245,0.34285714285714286,0.8530020703933747,0.7838772897027326,0.15371674517279574,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,2,candidate_plus_system,1,245,0.35918367346938773,0.8654458598726115,0.7770360885440909,0.15126533908393366,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_driven,2,candidate_plus_system,2,244,0.3770491803278688,0.8379576659038902,0.7419966938852329,0.16747895110537814,144,36,GroupKFold_by_system_id,controlled_evolving_reference_generality_simulation;pre_update_features_only;synthetic_mechanism_demonstration_not_external_domain;not_release_certificate;not_DFT_evidence;not_prospective_materials_discovery
