alpha1,seed,method,candidate_budget_M,n_cal_total,n_covered,n_rank_denominator,p_min_effective,gamma,gamma_star_eff,emax_effective,max_observed_e,best_margin,empty_diagnostic
0.05,0,tracklet_e_bh,100,,,,,,,,,,baseline_selected_empty
0.05,0,post_filter_e_bh,100,,,,,,,,,,baseline_selected_empty
0.05,0,tracklet_e_bh,125,,,,,,,,,,baseline_selected_empty
0.05,0,post_filter_e_bh,125,,,,,,,,,,baseline_selected_empty
0.05,0,tracklet_e_bh,150,,,,,,,,,,baseline_selected_empty
0.05,0,post_filter_e_bh,150,,,,,,,,,,baseline_selected_empty
0.05,0,tracklet_e_bh,175,,,,,,,,,,baseline_selected_empty
0.05,0,post_filter_e_bh,175,,,,,,,,,,baseline_selected_empty
0.05,0,tracklet_e_bh,200,,,,,,,,,,baseline_selected_empty
0.05,0,post_filter_e_bh,200,,,,,,,,,,baseline_selected_empty
0.05,0,tracklet_e_bh,250,,,,,,,,,,baseline_selected_empty
0.05,0,post_filter_e_bh,250,,,,,,,,,,baseline_selected_empty
0.05,1,unmatched_as_false_block,75,982.0,671.0,671.0,0.0014880952380952,0.5,0.1536037354732135,12.96148139681572,12.96148139681572,-10.83484861008832,resolution_below_required_emax
0.05,1,unmatched_as_false_block,100,982.0,671.0,671.0,0.0014880952380952,0.5,0.1536037354732135,12.96148139681572,12.96148139681572,-10.83484861008832,resolution_below_required_emax
0.05,1,unmatched_as_false_block,125,982.0,671.0,671.0,0.0014880952380952,0.5,0.1536037354732135,12.96148139681572,12.96148139681572,-10.83484861008832,resolution_below_required_emax
0.05,1,unmatched_as_false_block,150,982.0,671.0,671.0,0.0014880952380952,0.5,0.1536037354732135,12.96148139681572,12.96148139681572,-11.10511888035859,resolution_below_required_emax
0.05,1,unmatched_as_false_block,175,982.0,671.0,671.0,0.0014880952380952,0.5,0.1536037354732135,12.96148139681572,12.96148139681572,-12.516685226452118,resolution_below_required_emax
0.05,1,unmatched_as_false_block,200,982.0,671.0,671.0,0.0014880952380952,0.5,0.1536037354732135,12.96148139681572,12.96148139681572,-12.516685226452118,resolution_below_required_emax
0.05,1,unmatched_as_false_block,250,982.0,671.0,671.0,0.0014880952380952,0.5,0.1536037354732135,12.96148139681572,12.96148139681572,-14.203449301524223,resolution_below_required_emax
0.05,1,null_superset_no_audit,175,982.0,671.0,671.0,0.0014880952380952,0.1536037354732135,0.1536037354732135,37.97314507911579,37.97314507911579,-2.5290381355634963,insufficient_high_e_mass_for_uniform_scs
0.05,1,null_superset_no_audit,200,982.0,671.0,671.0,0.0014880952380952,0.1536037354732135,0.1536037354732135,37.97314507911579,37.97314507911579,-5.0154770640757,insufficient_high_e_mass_for_uniform_scs
0.05,1,null_superset_no_audit,250,982.0,671.0,671.0,0.0014880952380952,0.1536037354732135,0.1536037354732135,37.97314507911579,37.97314507911579,-8.379963045384109,insufficient_high_e_mass_for_uniform_scs
0.05,1,parc_track_gamma_tuned_uniform_scs,175,982.0,655.0,655.0,0.0015243902439024,0.1541744080264767,0.1541744080264767,37.20674236442314,37.20674236442314,-2.9471029919479896,insufficient_high_e_mass_for_uniform_scs
0.05,1,parc_track_gamma_tuned_uniform_scs,200,982.0,655.0,655.0,0.0015243902439024,0.1541744080264767,0.1541744080264767,37.20674236442314,37.20674236442314,-5.308698237722201,insufficient_high_e_mass_for_uniform_scs
0.05,1,parc_track_gamma_tuned_uniform_scs,250,982.0,655.0,655.0,0.0015243902439024,0.1541744080264767,0.1541744080264767,37.20674236442314,37.20674236442314,-8.67318421903061,insufficient_high_e_mass_for_uniform_scs
0.05,1,tracklet_e_bh,75,,,,,,,,,,baseline_selected_empty
0.05,1,tracklet_e_bh,100,,,,,,,,,,baseline_selected_empty
0.05,1,tracklet_e_bh,125,,,,,,,,,,baseline_selected_empty
0.05,1,tracklet_e_bh,150,,,,,,,,,,baseline_selected_empty
0.05,1,tracklet_e_bh,175,,,,,,,,,,baseline_selected_empty
0.05,1,post_filter_e_bh,175,,,,,,,,,,baseline_selected_empty
0.05,1,tracklet_e_bh,200,,,,,,,,,,baseline_selected_empty
0.05,1,post_filter_e_bh,200,,,,,,,,,,baseline_selected_empty
0.05,1,tracklet_e_bh,250,,,,,,,,,,baseline_selected_empty
0.05,1,post_filter_e_bh,250,,,,,,,,,,baseline_selected_empty
0.05,2,unmatched_as_false_block,75,982.0,673.0,673.0,0.0014836795252225,0.5,0.1535336511947572,12.980754985747168,12.980754985747168,-7.019245014252832,resolution_below_required_emax
0.05,2,unmatched_as_false_block,100,982.0,673.0,673.0,0.0014836795252225,0.5,0.1535336511947572,12.980754985747168,12.980754985747168,-7.019245014252832,resolution_below_required_emax
0.05,2,unmatched_as_false_block,125,982.0,673.0,673.0,0.0014836795252225,0.5,0.1535336511947572,12.980754985747168,12.980754985747168,-8.570969152183864,resolution_below_required_emax
0.05,2,unmatched_as_false_block,150,982.0,673.0,673.0,0.0014836795252225,0.5,0.1535336511947572,12.980754985747168,12.980754985747168,-10.82122012465709,resolution_below_required_emax
0.05,2,unmatched_as_false_block,175,982.0,673.0,673.0,0.0014836795252225,0.5,0.1535336511947572,12.980754985747168,12.980754985747168,-13.509622507126416,resolution_below_required_emax
0.05,2,unmatched_as_false_block,200,982.0,673.0,673.0,0.0014836795252225,0.5,0.1535336511947572,12.980754985747168,12.980754985747168,-13.509622507126416,resolution_below_required_emax
0.05,2,unmatched_as_false_block,250,982.0,673.0,673.0,0.0014836795252225,0.5,0.1535336511947572,12.980754985747168,12.980754985747168,-14.194829890520005,resolution_below_required_emax
0.05,2,null_superset_no_audit,250,982.0,673.0,673.0,0.0014836795252225,0.1535336511947572,0.1535336511947572,38.068782942910914,38.068782942910914,-5.03466533295115,insufficient_high_e_mass_for_uniform_scs
0.05,2,parc_track_gamma_tuned_uniform_scs,250,982.0,660.0,660.0,0.0015128593040847,0.1539941341575152,0.1539941341575152,37.44649344759844,37.44649344759844,-5.656954828263622,insufficient_high_e_mass_for_uniform_scs
0.05,2,tracklet_e_bh,150,,,,,,,,,,baseline_selected_empty
0.05,2,tracklet_e_bh,175,,,,,,,,,,baseline_selected_empty
0.05,2,tracklet_e_bh,200,,,,,,,,,,baseline_selected_empty
0.05,2,tracklet_e_bh,250,,,,,,,,,,baseline_selected_empty
0.05,2,post_filter_e_bh,250,,,,,,,,,,baseline_selected_empty
0.1,0,unmatched_as_false_block,75,982.0,689.0,689.0,0.0014492753623188,0.5,0.1529825883736795,13.133925536563696,13.133925536563696,-0.9868847922363706,insufficient_high_e_mass_for_uniform_scs
0.1,0,unmatched_as_false_block,100,982.0,689.0,689.0,0.0014492753623188,0.5,0.1529825883736795,13.133925536563696,13.133925536563696,-2.4171245559484493,insufficient_high_e_mass_for_uniform_scs
