method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note,selection_protocol,selected_M,selected_M_by_tune,selection_metric,selection_status,tune_released,tune_margin,tune_tau,tune_max_e,tune_video_count,tune_internal_cal_videos,tune_internal_val_videos
tracklet_p_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,150,147,3,,,,,,,,,0.02,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001608999446034,tracklet_level_p_bh,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
tracklet_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,2,diagnostic_baseline,0.000340330414474,tracklet_level_e_self_consistency,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
post_filter_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,150,147,3,,,,,,,,,0.02,0.0,,0.9866666666666668,1.0,,,20.0,0.8323380227623502,,,,,,,,,2,diagnostic_baseline,0.0001467010006308,block_evalue_post_filter,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
greedy_score_no_risk,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,150,147,3,,,,,,,,,0.02,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001590400934219,top_m_by_score_no_risk_control,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,982.0,689.0,293.0,689.0,689.0,689.0,293.0,0.0,0.5,0.1529825883736795,0.0010172939979654,0.0014492753623188,0.0014492753623188,15.676415406590976,13.133925536563696,10.0,True,13.133925536563696,8.367825783082248,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2456.0,,,150.0,10.0,-4.126329937764635,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,4.272001872658766,196.0,98.0,98.0
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,982.0,689.0,293.0,689.0,689.0,689.0,293.0,0.0,0.1529825883736795,0.1529825883736795,0.0010172939979654,0.0014492753623188,0.0014492753623188,52.40671520749837,38.8326128927103,10.0,True,38.8326128927103,18.80437226910227,150,150.0,0.0,105,103,2,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.019047619047619,0.0,0.0,0.0095238095238095,0.7,0.0,2456.0,14.285714285714286,1.0275085826096646,73.0,20.54794520547945,1.0403807010028032,15.313222868323953,22.46784573071855,38.8326128927103,,,0,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,6.2592828516116175,196.0,98.0,98.0
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,982.0,683.0,299.0,683.0,683.0,683.0,299.0,0.0,0.1531872620226992,0.1531872620226992,0.0010172939979654,0.0014619883040935,0.0014619883040935,52.40287227141822,38.546439933685846,10.0,True,38.546439933685846,18.6686405303884,150,150.0,0.0,105,103,2,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.019047619047619,0.0,0.0,0.0095238095238095,0.7,67.0,2391.0,14.285714285714286,0.9180776513198196,105.0,14.285714285714286,0.9180776513198196,15.203791937034106,22.304934535929057,38.546439933685846,,,0,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,6.061336876907764,196.0,98.0,98.0
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,148,2,,,,,,,,,0.0133333333333333,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001593297347426,score_threshold_from_calibration_null_quantile,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
tracklet_p_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,148,2,,,,,,,,,0.0133333333333333,0.0,,0.9866666666666668,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001632096245884,tracklet_level_p_bh,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.0003500897437334,tracklet_level_e_self_consistency,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
