method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note
tracklet_p_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,75,,,75,74,1,,,,,,,,,0.013333333333333334,0.0,,0.9866666666666667,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.00015753041952848434,tracklet_level_p_bh
tracklet_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,75,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.00035806000232696533,tracklet_level_e_self_consistency
post_filter_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,75,,,73,72,1,,,,,,,,,0.0136986301369863,0.0,,0.9863013698630136,0.9733333333333334,,,20.54794520547945,0.8843281054991223,,,,,,,,,0,diagnostic_baseline,0.00045486073940992355,block_evalue_post_filter
greedy_score_no_risk,,,0.05,,,,,,,,,,,,,,,,,,,,,75,,,75,74,1,,,,,,,,,0.013333333333333334,0.0,,0.9866666666666667,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.00014999974519014359,top_m_by_score_no_risk_control
confidence_threshold,,,0.05,,,,,,,,,,,,,,,,,,,,,100,,,100,98,2,,,,,,,,,0.02,0.0,,0.98,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.00014992058277130127,score_threshold_from_calibration_null_quantile
tracklet_p_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,100,,,100,98,2,,,,,,,,,0.02,0.0,,0.98,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.00019112974405288696,tracklet_level_p_bh
tracklet_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,100,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.00034944992512464523,tracklet_level_e_self_consistency
post_filter_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,100,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.0003226594999432564,block_evalue_post_filter
greedy_score_no_risk,,,0.05,,,,,,,,,,,,,,,,,,,,,100,,,100,98,2,,,,,,,,,0.02,0.0,,0.98,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001360299065709114,top_m_by_score_no_risk_control
confidence_threshold,,,0.05,,,,,,,,,,,,,,,,,,,,,125,,,125,123,2,,,,,,,,,0.016,0.0,,0.984,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.00016347970813512802,score_threshold_from_calibration_null_quantile
