method,alpha1,seed,candidate_budget_M,released,n_cal_total,n_covered,n_excluded_empty,p_min_effective,emax_effective,required_emax,release_feasible,max_observed_e,best_margin_k,best_margin_tau,best_margin,empty_reason,empty_diagnostic
unmatched_as_false_block,0.05,1,250,0,708.0,595.0,113.0,0.0016778523489932,12.206555615733704,20.0,True,12.206555615733704,250.0,20.0,-16.948361096066574,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
null_superset_no_audit,0.05,1,75,0,708.0,595.0,113.0,0.0016778523489932,34.311093800927324,20.0,True,34.311093800927324,67.0,22.388059701492537,-8.80563333357945,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,0.05,1,100,0,708.0,595.0,113.0,0.0016778523489932,34.311093800927324,20.0,True,34.311093800927324,100.0,20.0,-11.172343688427476,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,0.05,1,125,0,708.0,595.0,113.0,0.0016778523489932,34.311093800927324,20.0,True,34.311093800927324,125.0,20.0,-13.353626295496422,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,0.05,1,150,0,708.0,595.0,113.0,0.0016778523489932,34.311093800927324,20.0,True,34.311093800927324,150.0,20.0,-14.623246139859448,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,0.05,1,175,0,708.0,595.0,113.0,0.0016778523489932,34.311093800927324,20.0,True,34.311093800927324,175.0,20.0,-15.460500303957074,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,0.05,1,200,0,708.0,595.0,113.0,0.0016778523489932,34.311093800927324,20.0,True,34.311093800927324,200.0,20.0,-15.7817442173457,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,0.05,1,250,0,708.0,595.0,113.0,0.0016778523489932,34.311093800927324,20.0,True,34.311093800927324,250.0,20.0,-16.690627410005465,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,0.05,1,75,0,708.0,590.0,118.0,0.0016920473773265,34.068163221773965,20.0,True,34.068163221773965,75.0,20.0,-6.510679305001542,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,0.05,1,100,0,708.0,590.0,118.0,0.0016920473773265,34.068163221773965,20.0,True,34.068163221773965,90.0,22.22222222222222,-8.732901527223763,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,0.05,1,125,0,708.0,590.0,118.0,0.0016920473773265,34.068163221773965,20.0,True,34.068163221773965,125.0,20.0,-12.481520110993063,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,0.05,1,150,0,708.0,590.0,118.0,0.0016920473773265,34.068163221773965,20.0,True,34.068163221773965,150.0,20.0,-14.101132959921117,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,0.05,1,175,0,708.0,590.0,118.0,0.0016920473773265,34.068163221773965,20.0,True,34.068163221773965,175.0,20.0,-15.112982106891344,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,0.05,1,200,0,708.0,590.0,118.0,0.0016920473773265,34.068163221773965,20.0,True,34.068163221773965,200.0,20.0,-15.490407708321978,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,0.05,1,250,0,708.0,590.0,118.0,0.0016920473773265,34.068163221773965,20.0,True,34.068163221773965,250.0,20.0,-16.32029115534315,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
confidence_threshold,0.05,1,75,75,,,,,,,,,,,,,
tracklet_p_bh,0.05,1,75,75,,,,,,,,,,,,,
tracklet_e_bh,0.05,1,75,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,1,75,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,1,75,75,,,,,,,,,,,,,
confidence_threshold,0.05,1,100,100,,,,,,,,,,,,,
tracklet_p_bh,0.05,1,100,100,,,,,,,,,,,,,
tracklet_e_bh,0.05,1,100,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,1,100,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,1,100,100,,,,,,,,,,,,,
confidence_threshold,0.05,1,125,125,,,,,,,,,,,,,
tracklet_p_bh,0.05,1,125,125,,,,,,,,,,,,,
tracklet_e_bh,0.05,1,125,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,1,125,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,1,125,125,,,,,,,,,,,,,
confidence_threshold,0.05,1,150,150,,,,,,,,,,,,,
tracklet_p_bh,0.05,1,150,150,,,,,,,,,,,,,
tracklet_e_bh,0.05,1,150,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,1,150,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,1,150,150,,,,,,,,,,,,,
confidence_threshold,0.05,1,175,175,,,,,,,,,,,,,
tracklet_p_bh,0.05,1,175,175,,,,,,,,,,,,,
tracklet_e_bh,0.05,1,175,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,1,175,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,1,175,175,,,,,,,,,,,,,
confidence_threshold,0.05,1,200,200,,,,,,,,,,,,,
tracklet_p_bh,0.05,1,200,200,,,,,,,,,,,,,
tracklet_e_bh,0.05,1,200,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,1,200,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,1,200,200,,,,,,,,,,,,,
confidence_threshold,0.05,1,250,250,,,,,,,,,,,,,
tracklet_p_bh,0.05,1,250,250,,,,,,,,,,,,,
tracklet_e_bh,0.05,1,250,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,1,250,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,1,250,250,,,,,,,,,,,,,
unmatched_as_false_block,0.05,2,75,0,708.0,586.0,122.0,0.0017035775127768,12.114041439585716,20.0,True,12.114041439585716,75.0,20.0,-13.94297928020714,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,0.05,2,100,0,708.0,586.0,122.0,0.0017035775127768,12.114041439585716,20.0,True,12.114041439585716,100.0,20.0,-14.582435971767383,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,0.05,2,125,0,708.0,586.0,122.0,0.0017035775127768,12.114041439585716,20.0,True,12.114041439585716,124.0,20.161290322580644,-15.582613033855688,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,0.05,2,150,0,708.0,586.0,122.0,0.0017035775127768,12.114041439585716,20.0,True,12.114041439585716,150.0,20.0,-16.347479077279765,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,0.05,2,175,0,708.0,586.0,122.0,0.0017035775127768,12.114041439585716,20.0,True,12.114041439585716,175.0,20.0,-16.640169418190624,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,0.05,2,200,0,708.0,586.0,122.0,0.0017035775127768,12.114041439585716,20.0,True,12.114041439585716,200.0,20.0,-16.76238624027775,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,0.05,2,250,0,708.0,586.0,122.0,0.0017035775127768,12.114041439585716,20.0,True,12.114041439585716,250.0,20.0,-17.061913387734037,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
null_superset_no_audit,0.05,2,75,0,708.0,586.0,122.0,0.0017035775127768,33.873629996856955,20.0,True,33.873629996856955,75.0,20.0,-9.474513868824086,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,0.05,2,100,0,708.0,586.0,122.0,0.0017035775127768,33.873629996856955,20.0,True,33.873629996856955,100.0,20.0,-11.279655106406045,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,0.05,2,125,0,708.0,586.0,122.0,0.0017035775127768,33.873629996856955,20.0,True,33.873629996856955,124.0,20.161290322580644,-13.594886588800454,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,0.05,2,150,0,708.0,586.0,122.0,0.0017035775127768,33.873629996856955,20.0,True,33.873629996856955,150.0,20.0,-15.514362915670668,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,0.05,2,175,0,708.0,586.0,122.0,0.0017035775127768,33.873629996856955,20.0,True,33.873629996856955,175.0,20.0,-16.10368626958317,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,0.05,2,200,0,708.0,586.0,122.0,0.0017035775127768,33.873629996856955,20.0,True,33.873629996856955,200.0,20.0,-16.339690629283428,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,0.05,2,250,0,708.0,586.0,122.0,0.0017035775127768,33.873629996856955,20.0,True,33.873629996856955,250.0,20.0,-16.892410380444517,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,0.05,2,75,0,708.0,584.0,124.0,0.0017094017094017,33.776299976401,20.0,True,33.776299976401,75.0,20.0,-6.622555243151517,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,0.05,2,100,0,708.0,584.0,124.0,0.0017094017094017,33.776299976401,20.0,True,33.776299976401,100.0,20.0,-9.50353446064217,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,0.05,2,125,0,708.0,584.0,124.0,0.0017094017094017,33.776299976401,20.0,True,33.776299976401,124.0,20.161290322580644,-12.70386914330066,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,0.05,2,150,0,708.0,584.0,124.0,0.0017094017094017,33.776299976401,20.0,True,33.776299976401,150.0,20.0,-15.152048893876394,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,0.05,2,175,0,708.0,584.0,124.0,0.0017094017094017,33.776299976401,20.0,True,33.776299976401,175.0,20.0,-15.842768805552128,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,0.05,2,200,0,708.0,584.0,124.0,0.0017094017094017,33.776299976401,20.0,True,33.776299976401,200.0,20.0,-16.11404425646821,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,0.05,2,250,0,708.0,584.0,124.0,0.0017094017094017,33.776299976401,20.0,True,33.776299976401,250.0,20.0,-16.9006017565268,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
confidence_threshold,0.05,2,75,75,,,,,,,,,,,,,
tracklet_p_bh,0.05,2,75,75,,,,,,,,,,,,,
tracklet_e_bh,0.05,2,75,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,2,75,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,2,75,75,,,,,,,,,,,,,
confidence_threshold,0.05,2,100,100,,,,,,,,,,,,,
tracklet_p_bh,0.05,2,100,100,,,,,,,,,,,,,
tracklet_e_bh,0.05,2,100,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,2,100,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,2,100,100,,,,,,,,,,,,,
confidence_threshold,0.05,2,125,125,,,,,,,,,,,,,
tracklet_p_bh,0.05,2,125,125,,,,,,,,,,,,,
tracklet_e_bh,0.05,2,125,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,2,125,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,2,125,125,,,,,,,,,,,,,
confidence_threshold,0.05,2,150,150,,,,,,,,,,,,,
tracklet_p_bh,0.05,2,150,150,,,,,,,,,,,,,
tracklet_e_bh,0.05,2,150,0,,,,,,,,,,,,,baseline_selected_empty
post_filter_e_bh,0.05,2,150,0,,,,,,,,,,,,,baseline_selected_empty
greedy_score_no_risk,0.05,2,150,150,,,,,,,,,,,,,
confidence_threshold,0.05,2,175,175,,,,,,,,,,,,,
