domain,row_id,stress_type,downsample_m,repeat,alpha,K,seed,released,actual_FTR,raw_topK_FTR,max_observed_e,best_mass_ratio,self_consistency_margin,tau,n_cal_blocks,n_nonempty_null_cal_blocks,block_coverage,p_min_effective,gamma,emax_effective,required_e,evidence_status
materials_discovery,materials_alignn_alpha010_K500,downsampled_blockmax,10,1,0.1,500,1,145,0.07586206896551724,0.304,164.76455676497005,3.1634794898874254,5.606842886499635,34.48275862068966,3686,3676,0.9972870320130223,0.0002719608376393799,0.12180486826987404,164.76455676497005,10.0,completed_candidate_level_materials_stress
materials_discovery,materials_alignn_alpha010_K500,downsampled_blockmax,10,2,0.1,500,1,145,0.07586206896551724,0.304,164.76455676497005,3.1634794898874254,5.606842886499635,34.48275862068966,3686,3676,0.9972870320130223,0.0002719608376393799,0.12180486826987404,164.76455676497005,10.0,completed_candidate_level_materials_stress
materials_discovery,materials_alignn_alpha010_K500,downsampled_blockmax,10,3,0.1,500,1,147,0.07482993197278912,0.304,164.76455676497005,3.1634794898874254,0.14460851965326782,34.01360544217687,3686,3676,0.9972870320130223,0.0002719608376393799,0.12180486826987404,164.76455676497005,10.0,completed_candidate_level_materials_stress
materials_discovery,materials_alignn_alpha010_K500,downsampled_blockmax,10,4,0.1,500,1,147,0.07482993197278912,0.304,164.76455676497005,3.1634794898874254,0.14460851965326782,34.01360544217687,3686,3676,0.9972870320130223,0.0002719608376393799,0.12180486826987404,164.76455676497005,10.0,completed_candidate_level_materials_stress
materials_discovery,materials_alignn_alpha010_K500,downsampled_blockmax,10,5,0.1,500,1,147,0.07482993197278912,0.304,164.76455676497005,3.1634794898874254,0.14460851965326782,34.01360544217687,3686,3676,0.9972870320130223,0.0002719608376393799,0.12180486826987404,164.76455676497005,10.0,completed_candidate_level_materials_stress
materials_discovery,materials_alignn_alpha010_K500,downsampled_blockmax,10,6,0.1,500,1,147,0.07482993197278912,0.304,164.76455676497005,3.1634794898874254,0.14460851965326782,34.01360544217687,3686,3676,0.9972870320130223,0.0002719608376393799,0.12180486826987404,164.76455676497005,10.0,completed_candidate_level_materials_stress
materials_discovery,materials_alignn_alpha010_K500,downsampled_blockmax,10,7,0.1,500,1,147,0.07482993197278912,0.304,164.76455676497005,3.1634794898874254,0.14460851965326782,34.01360544217687,3686,3676,0.9972870320130223,0.0002719608376393799,0.12180486826987404,164.76455676497005,10.0,completed_candidate_level_materials_stress
materials_discovery,materials_alignn_alpha010_K500,downsampled_blockmax,10,8,0.1,500,1,147,0.07482993197278912,0.304,164.76455676497005,3.1634794898874254,0.14460851965326782,34.01360544217687,3686,3676,0.9972870320130223,0.0002719608376393799,0.12180486826987404,164.76455676497005,10.0,completed_candidate_level_materials_stress
materials_discovery,materials_alignn_alpha010_K500,downsampled_blockmax,10,9,0.1,500,1,145,0.07586206896551724,0.304,164.76455676497005,3.1634794898874254,5.606842886499635,34.48275862068966,3686,3676,0.9972870320130223,0.0002719608376393799,0.12180486826987404,164.76455676497005,10.0,completed_candidate_level_materials_stress
materials_discovery,materials_alignn_alpha010_K500,downsampled_blockmax,10,10,0.1,500,1,147,0.07482993197278912,0.304,164.76455676497005,3.1634794898874254,0.14460851965326782,34.01360544217687,3686,3676,0.9972870320130223,0.0002719608376393799,0.12180486826987404,164.76455676497005,10.0,completed_candidate_level_materials_stress
materials_discovery,materials_alignn_alpha010_K500,downsampled_blockmax,10,11,0.1,500,1,147,0.07482993197278912,0.304,164.76455676497005,3.1634794898874254,0.14460851965326782,34.01360544217687,3686,3676,0.9972870320130223,0.0002719608376393799,0.12180486826987404,164.76455676497005,10.0,completed_candidate_level_materials_stress
materials_discovery,materials_alignn_alpha010_K500,downsampled_blockmax,10,12,0.1,500,1,145,0.07586206896551724,0.304,164.76455676497005,3.1634794898874254,5.606842886499635,34.48275862068966,3686,3676,0.9972870320130223,0.0002719608376393799,0.12180486826987404,164.76455676497005,10.0,completed_candidate_level_materials_stress
materials_discovery,materials_alignn_alpha010_K500,downsampled_blockmax,10,13,0.1,500,1,145,0.07586206896551724,0.304,164.76455676497005,3.1634794898874254,5.606842886499635,34.48275862068966,3686,3676,0.9972870320130223,0.0002719608376393799,0.12180486826987404,164.76455676497005,10.0,completed_candidate_level_materials_stress
materials_discovery,materials_alignn_alpha010_K500,downsampled_blockmax,10,14,0.1,500,1,145,0.07586206896551724,0.304,164.76455676497005,3.1634794898874254,5.606842886499635,34.48275862068966,3686,3676,0.9972870320130223,0.0002719608376393799,0.12180486826987404,164.76455676497005,10.0,completed_candidate_level_materials_stress
