proposal_source,K,alpha,raw_unstable_count_mean,PARC_unstable_count_mean,prevented_unstable_followups_mean,raw_topK_FTR_mean,PARC_FTR_mean,evidence_status,evidence_state,source_table,source_sha256
cgcnn_ensemble_learned_materials_model,100,0.1,3.0,3.0,0.0,0.03,0.03,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
cgcnn_ensemble_learned_materials_model,300,0.1,70.5,17.95,52.55,0.2349999999999999,0.091556238689795,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
cgcnn_ensemble_learned_materials_model,500,0.1,162.95,4.7,158.25,0.3258999999999999,0.0318972059842815,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
cgcnn_ensemble_learned_materials_model,1000,0.1,409.6,1.65,407.95,0.4096,0.0135530164863021,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
cgcnn_ensemble_learned_materials_model,5000,0.1,2032.55,0.0,2032.55,0.40651,0.0,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
cgcnn_ensemble_learned_materials_model,100,0.2,3.0,3.0,0.0,0.03,0.03,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
cgcnn_ensemble_learned_materials_model,300,0.2,70.5,65.85,4.65,0.2349999999999999,0.2255898050495365,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
cgcnn_ensemble_learned_materials_model,500,0.2,162.95,32.7,130.25,0.3258999999999999,0.1345361990925361,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
cgcnn_ensemble_learned_materials_model,1000,0.2,409.6,4.7,404.9,0.4096,0.0318972059842815,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
cgcnn_ensemble_learned_materials_model,5000,0.2,2032.55,0.0,2032.55,0.40651,0.0,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
megnet_weak_learned_materials_model,100,0.1,4.65,4.65,0.0,0.0465,0.0465,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
megnet_weak_learned_materials_model,300,0.1,55.2,24.5,30.7,0.184,0.1134224425316824,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
megnet_weak_learned_materials_model,500,0.1,110.45,5.05,105.4,0.2209,0.0413139560333971,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
megnet_weak_learned_materials_model,1000,0.1,291.6,0.9,290.7,0.2916,0.0088096164778365,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
megnet_weak_learned_materials_model,5000,0.1,2683.45,0.0,2683.45,0.5366899999999999,0.0,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
megnet_weak_learned_materials_model,100,0.2,4.65,4.65,0.0,0.0465,0.0465,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
megnet_weak_learned_materials_model,300,0.2,55.2,55.2,0.0,0.184,0.184,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
megnet_weak_learned_materials_model,500,0.2,110.45,84.0,26.45,0.2209,0.2018535889187373,completed_public_DFT_label_followup,completed_evidence,outputs/milestones/fixed_budget_scientific_utility_trial/table_false_followups_prevented.csv,a7f162c6545284be35944ea6fcd5c89303bf6ab39a8d7dc94376addff2a03b39
